instructor,rmp_rating
RUTH FINKELSTEIN,2.0
MATT PORTER,4.4
NATHAN SCHLEY,2.5
ROBIN NABI,3.6
SCOTT REID,3.6
MATTHEW LANG,3.6
TAGART SOBOTKA,3.4
DR. COCO GUTIÉRREZ-MAGALLANES,2.0
QINGHUA DING,4.2
NATHAN SEGURA,5.0
BRYANNA SYLVESTER,3.6
CINDY BENELLI,2.7
MERCY ANYIKA,3.0
GORDON ABRA,3.9
CLAYTON NALL,3.0
JOHN LEW,3.4
ANTONY MILLNER,2.6
DENISE MONTELL,3.2
KAREN GRIGORIAN,2.9
LOAI SALEM,2.7
CRYSTAL MARTIN,3.0
ALAN CRAWLEY,5.0
MARK RODWELL,3.0
FAYE WALKER,1.3
JAVIER BIRCHENALL,2.5
FENGRUI YANG,1.3
YOUNGKI HONG,3.3
ALAN FRIDLUND,4.1
ANDREW BAKER,3.9
JASON SOMERVILLE,2.0
MORGAN GAINER,3.4
RALPH ARMBRUSTER-SANDOVAL,4.3
OLIVIER DESCHENES,4.1
MYRIAM GONZALES SMITH,3.3
ELENA RAYMOND,3.3
CLINT SCHOW,2.6
PETER CHI,4.9
ELINOR MASON,4.3
DAVID PIETRASZEWSKI,5.0
ROBERT GELLER,3.4
WALID AFIFI,3.5
MOHAMAD JARADA,3.5
JEFFREY HOELLE,4.0
BRUCE LIPSHUTZ,3.9
BARRY GIESBRECHT,4.5
KELVIN LAM,3.0
LINA KIM,2.2
MINGSONG YAN,5.0
SCOTT PRICE,4.6
PETER GARFIELD,3.8
YEKATERINA KATE KHARITONOVA,2.5
ROBERT (BOB) KENNEDY,4.1
THOMAS BARRETT,4.8
JEREMY WHITE,3.7
VOLKER WELTER,3.8
GIULIANA PERRONE,4.6
SAMEER PANDYA,4.4
DAVID MOKRISKI,4.0
DANIEL FRANK,4.9
LETTY GARCIA DAHAN,4.7
MATTHIAS WINK,3.2
HAOYANG LIU,3.3
HUNG CHIANG,3.3
HELEN MORALES,4.2
ALICE O'CONNOR,4.0
OLGA AZARENKO,2.8
GREG JARRETT,4.0
SIMONETTA FALASCA,3.7
ALICIA BOSWELL,2.9
ROSS MELNICK,4.6
MONA DAMLUJI,3.7
CHRIS JENKINS,3.6
TING XIAO,1.7
JANET BOURNE,4.7
RENNE ROTTNER,4.0
SARA CALDWELL,4.5
ERNEST FREUND,4.4
BRENT STRATHMAN,3.4
ALEX WROBEL,4.8
RANDY BERGSTROM,3.9
WOLF KITTLER,2.7
SAMANTHA SCUDDER,4.7
GREG SIEGEL,2.9
NADINE RUSSELL,2.4
BRANDON WOO,4.8
COLIN ALLEN,3.8
REAGAN HAYNES,2.7
MEHDI HAGHIGHI,4.0
JOHN HARTMAN,2.2
MARYAM MAJEDI,2.6
KATHLEEN BRUHN,3.4
BRIAN DONNELLY,4.4
MELINDA BAHAM,3.9
YADER LANUZA,3.4
KEVIN ANDERSON,3.7
HEATHER STOLL,3.4
PAASHA MAHDAVI,4.4
JON CHARRY,4.0
LIZ MUNDAY,5.0
DARBY FELDWINN,3.0
JULIO VEGA,5.0
