instructor,rmp_rating,rmp_url
CRISJOE JOSEPH,4.2,https://www.ratemyprofessors.com/professor/1829388
STUART SMITH,2.8,https://www.ratemyprofessors.com/professor/349755
RUTH FINKELSTEIN,2.0,https://www.ratemyprofessors.com/professor/168264
HONGBO YU,3.8,https://www.ratemyprofessors.com/professor/2668256
KELVIN LAM,3.1,https://www.ratemyprofessors.com/professor/3061230
TAE-YEOUN KEUM,4.1,https://www.ratemyprofessors.com/professor/2681300
JACKIE SHAY,5.0,https://www.ratemyprofessors.com/professor/3021688
DOUGLAS MCCAULEY,4.8,https://www.ratemyprofessors.com/professor/2610280
SARAH BRADY,1.8,https://www.ratemyprofessors.com/professor/2772528
SHAUN ARMSTEAD,5.0,https://www.ratemyprofessors.com/professor/3079768
MATT PORTER,4.4,https://www.ratemyprofessors.com/professor/1857546
NATHAN SCHLEY,2.5,https://www.ratemyprofessors.com/professor/1984011
SCOTT REID,3.6,https://www.ratemyprofessors.com/professor/931361
ROBIN NABI,3.6,https://www.ratemyprofessors.com/professor/600908
MATTHEW LANG,3.6,https://www.ratemyprofessors.com/professor/3081750
TAGART SOBOTKA,3.4,https://www.ratemyprofessors.com/professor/2946451
DR. COCO GUTIÉRREZ-MAGALLANES,2.0,https://www.ratemyprofessors.com/professor/2896190
QINGHUA DING,4.2,https://www.ratemyprofessors.com/professor/2354857
NATHAN SEGURA,5.0,https://www.ratemyprofessors.com/professor/2813586
BRYANNA SYLVESTER,3.6,https://www.ratemyprofessors.com/professor/1634616
CINDY BENELLI,2.7,https://www.ratemyprofessors.com/professor/1031087
MERCY ANYIKA,3.0,https://www.ratemyprofessors.com/professor/2748603
GORDON ABRA,3.9,https://www.ratemyprofessors.com/professor/1954380
CLAYTON NALL,3.0,https://www.ratemyprofessors.com/professor/2593661
JOHN LEW,3.4,https://www.ratemyprofessors.com/professor/587012
ANTONY MILLNER,2.6,https://www.ratemyprofessors.com/professor/2678607
DENISE MONTELL,3.2,https://www.ratemyprofessors.com/professor/1957168
KAREN GRIGORIAN,2.9,https://www.ratemyprofessors.com/professor/2946937
LOAI SALEM,2.7,https://www.ratemyprofessors.com/professor/2583635
CRYSTAL MARTIN,3.0,https://www.ratemyprofessors.com/professor/297697
ALAN CRAWLEY,5.0,https://www.ratemyprofessors.com/professor/3108217
MARK RODWELL,3.0,https://www.ratemyprofessors.com/professor/568950
FAYE WALKER,1.3,https://www.ratemyprofessors.com/professor/3046802
YOUNGKI HONG,3.3,https://www.ratemyprofessors.com/professor/2403175
ALAN FRIDLUND,4.1,https://www.ratemyprofessors.com/professor/855
ANDREW BAKER,3.9,https://www.ratemyprofessors.com/professor/2343293
JASON SOMERVILLE,2.0,https://www.ratemyprofessors.com/professor/3160507
MORGAN GAINER,3.4,https://www.ratemyprofessors.com/professor/1845792
RALPH ARMBRUSTER-SANDOVAL,4.3,https://www.ratemyprofessors.com/professor/1184167
OLIVIER DESCHENES,4.1,https://www.ratemyprofessors.com/professor/773936
