instructor,classes_taught,avg_gpa_historical
ABDOLEE R,3,3.8735441572608473
ALIZADEH M,7,3.586813695004995
ASLANDOGAN Y,1,3.746206896551724
AWSCHALOM D D,2,3.864848484848485
BAMIEH B A,4,3.917820165945166
BANERJEE K,6,3.448526059396178
BELIAEV M,1,4.0
BEN-YAACOV I,13,3.6177669951232874
BEYELER M,2,3.5867761527688
BIBILASHVILI,1,1.9125
BLUMENTHAL D,13,3.7786844628801153
BOWERS J E,5,3.7298475299210594
BREWER F,12,3.5601765852364706
BROWN E R,2,3.6399999999999997
BUCKWALTER J,9,3.556389593419183
BULLO F,5,3.57512654012654
BUSETTO A,2,3.4638828216374264
BUTNER S E,3,3.6926149703302373
BYL K A,9,3.5079189685258254
CAMSARI K Y,6,3.45538421746738
CENICEROS H,1,3.821333333333333
CHANDRASEKARA,6,3.540129686151458
CHENEY C R,3,3.908934612046827
CHENG K-T,6,3.733244312123152
CHOQUER M,1,3.875
COLDREN L,3,3.6721643109458237
DAGLI N,6,3.3465932234535463
DEMPSEY C P,1,4.0
DENBAARS S P,1,3.7265001398670132
DENG Z,1,3.725
DU X,2,3.8575
EL ABBADI A,1,3.235714285714286
ELSHAFIY A,4,3.5125839598997493
ESLAMI RASEKH,1,2.994736842105264
FRAGOSO V M,1,3.933333333333333
GIBSON J D,9,3.6978910360670323
GOEBEL M G,2,3.94
GRUNDEEN S M,1,3.857142857142857
GUPTA G,2,3.6857142857142855
GUPTA GEETAK,1,3.495652173913044
GURUSWAMY S,1,3.4250000000000003
GWINN E G,1,3.8
HARE C,1,3.94
HESPANHA J P,5,3.940779746014102
HONEA J W,2,3.4045454545454543
HUYNH-TRAN K,1,3.8875
IFTEKHAR A,3,3.9616666666666664
ILTIS R A,3,3.3333333333333335
ISUKAPALLI Y,10,3.5357037361551584
JAYANT N S,1,3.875
JAYICH A C,1,3.488888888888889
JENA D,1,3.8833333333333337
JEONG H,3,3.772848673256568
JOHNSON J M,5,3.5612870700662835
KATARIA N,1,3.5183404255319144
KIM B,5,3.526878003419505
KIM L,1,3.354285714285714
KLAMKIN J,6,3.7224038770826704
KONG J,1,3.945454545454545
KORATTI SIVAK,1,3.75
KUMAR A U,1,4.0
KUO T S,3,3.570798061587535
LARIMIAN S,3,3.9460526315789473
LAVIN-PARMENT,1,4.0
LEE H,11,3.4042603093312795
LI BOHAN,1,3.669230769230769
LI P,4,3.535673856452529
LIEBLING M S,7,3.749422141046506
LIU W,1,4.0
LONG S I,2,3.373214285714286
LOPATIN S D,2,3.858492344928515
MADHOW U,11,3.5039638359050804
MANJUNATH B S,11,3.5510509189706085
MARCUCCI T,1,3.922222222222222
MARDEN J R,6,3.2716241450348593
MAREK-SADOWSK,3,3.235909685865746
MASHANOVITCH,1,3.604761904761905
MELLIAR-SMITH,4,3.7229802508399055
MEZIC I,1,3.8
MIOLANE N,4,3.838432377561171
MISHRA U,5,3.494833118282475
MITRA S K,1,3.5083333333333333
MOEHLIS J M,1,2.8722222222222222
MOODY G A,9,3.726255946429923
MOSER L E,4,3.5285789827456493
MOSTOFI Y C,9,3.532561687216292
MUKHERJEE K,1,3.6920787545787546
NAKAMURA S,1,3.945454545454545
NAMAZI M,2,3.843888888888889
NGUYEN-LE A T,1,3.0
PADEN B,2,3.744444444444445
PALLAPROLU A,1,4.0
PALMSTROM C J,4,3.5491090544627104
PARHAMI B,9,3.450705979547658
PARTOANDAZAN,3,3.5911483253588514
PATEL P P,1,4.0
PEDARSANI R,7,3.608492249092299
PENNATHUR S,2,3.1523106060606065
PETROFF P M,1,3.63125
PETZOLD L,1,3.4871428571428567
QIN YAO,3,3.841059047283945
RABINER L R,2,3.767032085561497
RODOPLU V,3,3.4880328975583255
RODWELL M J,9,3.1781472783245213
ROSE K,8,3.638424983290248
SALEM L G,5,3.5458610910484065
SCHOW C L,8,3.386421353156472
SCHULLER J A,6,3.761765041681008
SEN P,10,3.302604040490553
SHERWOOD T P,1,4.0
SHYNK J J,7,3.434339626241392
SMITH R S,2,3.869444444444445
SMITH S L,7,3.6544628042684018
SPECK J S,1,3.8791666666666664
STRUKOV D B,9,3.541614268594483
SUN SHAN-WEI,1,3.935
TEEL A R,4,3.486066188656959
THEOGARAJAN L,23,3.093245319439562
THRAMPOULIDIS,3,3.8036230222391407
TORUN M,1,4.0
TURK M A,2,3.323809523809523
TURNER K L,1,2.7
VAN DAM W,1,3.769128787878788
VAN DE WALLE,2,3.7959027777777776
VERRINDER P,1,3.975
VISELL Y,5,3.60162920668681
VOLKMANN N,1,3.4440000000000004
WANG L C,11,3.6757563922530005
WANG Y F,3,3.1195486188529666
XIE Y,5,3.3899766183134608
XING H,1,3.8833333333333337
YANG XIN,2,3.853448275862069
YANG XU,1,4.0
YEH P,5,3.5515393601265237
YORK R A,6,3.210935135940025
YU Q,4,3.47069884364002
YUE C P,3,3.363809523809524
ZHANG Z,5,3.6143601839516957
ZHENG H,1,3.58
ZHONG S,1,4.0
ZHOU HANMING,1,3.766666666666667
