instructor,classes_taught,avg_gpa_historical
ABBATE E C,2,2.795098067915691
ALBRECHT J W,1,3.7625
ALBRECHT S V,1,3.7625
AMARAL DE CAS,1,2.565221157612462
ANDERSON R W,8,2.6726182826929743
ARGYLE D W,1,2.7265625
BABCOCK P S,3,2.589762739862509
BAE J,1,3.6666666666666665
BANA S H,1,2.968363100398821
BAO K Q,1,2.9200168512277322
BARRAGE L,2,3.2443073033289176
BAUER A E,1,2.6252631578947367
BAUER A T,1,3.2963541666666667
BEDARD K L,19,3.3488306612822663
BENELLI C A,12,3.1350676028458806
BENZARTI Y C,9,3.6603090296099468
BERGER M M,2,3.406066384180791
BERGSTROM T C,5,3.2479138607763454
BIRCHENALL J,11,3.3287072047914252
BOFFY-RAMIREZ,1,3.024489795918367
BOHN H,4,3.221507159680119
BORGO S M,6,3.075721080786436
BRUSCO S,1,3.690476190476191
CAUGHELL C,1,3.023719571567673
CHARNESS G B,7,3.6136070263794733
CLARK D,2,3.42204219200201
COMANOR W S,6,3.5779633769945214
COSTELLO C J,2,3.875148555148555
DAVUTYAN N,1,3.1218181818181816
DE CHAISEMART,5,3.56346344845165
DEACON R T,2,3.33428367230053
DECANIO S,1,3.6454545454545455
DELGADO HELLE,5,2.6779171115439646
DESCHENES O,10,3.426533692439306
DIZON-ROSS R,3,3.7569444444444446
DUNCAN B J,1,3.52
EBENSTEIN A O,5,3.400709399390829
ERB C J,3,3.4380636070853456
ESPONDA I,7,3.570545366870492
EYSTER E,7,3.693005836490634
FARRELL M,3,3.5229100529100528
FERNANDEZ-VIL,1,3.95
FISCHER S J,1,2.8364044168391995
FRECH H E,7,3.2227570067426754
FULKERSON S D,6,3.0231655321603133
FULLAGER T K,1,3.424822695035461
GARRATT R J,7,3.19970866842671
GOODWIN C C,2,2.8238602053140096
GRAY L A,1,2.7935553128345263
GREEN-ARMYTAG,1,2.55625
GROSSMAN Z J,5,3.030455730952723
GROVER S R,5,3.547229181858006
GUAN M,1,2.6177586772835273
HAGEMANN A,1,3.391666666666667
HAMILTON D C,1,3.5733333333333333
HARMON C J,9,2.8481546565004003
HARRIS J P,2,3.7250601250601254
HARTMAN J L,8,2.8422609907970653
HELO SARMIENT,1,2.8981562774363474
HENRIKSEN E R,2,3.942857142857143
HEO S,1,2.744573643410853
HERRERA LA RO,2,2.653967087135532
HOFFMAN M,2,3.88212811664806
HULL T J,1,3.4588235294117644
HULME J L,3,2.6427138031860182
HUNTER N A,1,2.5372340425531914
JACK B K,2,3.9119230769230766
JASKIEWICZ A,3,3.0330637159162017
JIANG X,2,2.821580982330039
JONES A T,1,2.853571428571429
JONES B A,1,3.1533333333333333
KANG EUNSEO,1,2.657808219178082
KAPICKA M,5,3.350369488350654
KIM JAMES,1,2.7783333333333338
KOCH T G,3,2.8226200049649943
KOLSTAD C D,2,3.396540198735321
KUHN P J,7,3.7215275789412696
KULPER D E,6,3.0767749339693617
KYDLAND F E,1,4.0
LANG B J,3,3.150725582321991
LANG M D,2,2.9420185018868725
LAWVER D A,3,3.025581342825951
LEO G C,1,3.819354838709677
LEROY S F,1,4.0
LIBECAP G D,1,3.98
LIU D,1,2.7118030442314227
LOSTER D R,8,3.017895924317476
LOWELL J F,5,2.976660333718647
LOWES R C,1,2.984321321040071
LOZANO F A,1,3.826666666666666
LUNDBERG S J,8,3.883400622659329
MA YUEYUAN,2,3.4163165773309183
MAASS L E,4,2.8953889881111956
MALLOY C J,1,3.0888858246001103
MANLAPIG E,1,3.2193548387096773
MARSHALL K,3,3.166664626200337
MARTIN D,5,3.823981227106227
MEHRA N,3,3.178038335333022
MEI G,1,2.896256168204248
MENG K C,3,3.4573667590896755
MILLNER A M,4,3.1375582765941714
MILOSCH J L,1,2.86125
MITYAKOV S V,1,4.0
MOORE R L,1,2.5291139240506326
MOROZOVA A,1,2.6128205128205124
NEIRA J M,1,2.8163274745605924
NGUYEN H X,1,2.65531914893617
O M,1,2.5600000000000005
OLIVA VALLEJO,4,3.2983265054179123
OPREA R D,7,3.4394738705219114
OWEN G,1,2.6225076139357326
PHILLIPS L,3,3.2685646352755335
PLANTINGA A,2,3.8886456043956046
QIN C Z,12,3.2350887384299187
RAMIREZ CUELL,1,3.025
RASAMOELISON,1,2.6534263392857143
RICHTER B,1,3.6839991874322853
ROBBINS T C,1,2.8411764705882354
ROBERTSON E N,1,2.8843256743256744
ROSSIN-SLATER,4,3.0623263666992853
ROYER H N,12,3.8013278925365097
RUPERT P,12,3.3091084465611305
RUSSELL N,2,2.857585830829041
SAHA K,1,2.847619047619048
SANDER H C,4,2.384341069783548
SCHNEIDER N J,3,3.213988722779105
SCHNEPEL K T,1,3.933333333333333
SCHULTE J L,1,3.72
SHAPIRO P,1,3.4081632653061225
SHERIDAN E F,1,3.0718091877794804
SHERRARD R W,1,2.9
SHMIDOV V,1,3.376190476190476
SILVER D,3,3.5586459633702376
SINGHANIA H,1,3.058823529411765
SOBRAL DO ROS,1,2.8935185185185186
SONSTELIE J,5,2.8268232969921248
STARTZ R,10,3.4759564373789336
STEARNS J E,1,2.693131868131868
STEIGERWALD D,9,3.442712662995867
STREHL PESSIN,2,2.8355012149409564
STUART C,3,2.827347303442773
SZMURLO D A,1,3.1038424766511845
TAZHITDINOVA,6,3.495940539968941
TOOLEY J M,1,3.2035792094615623
TREJO S J,1,3.8733333333333335
TRUJANO OCHOA,1,2.752751947379786
TSAO S,1,2.7240154536390833
UHRIG R A,2,3.075919405320814
URUCI X,1,2.851944444444445
VAZQUEZ-BARE,6,3.709548639506743
VESPA E I,9,3.3049188371131435
VOTEY H L,1,2.8316784553148193
WALSH K J,4,3.824196522230291
WATSON R B,4,2.4807791216697503
WEATHERFORD A,1,3.413333333333334
WELDING K M,1,2.4829268292682927
WHITE C D,1,2.965406270200388
WITMAN A E,2,2.6735608552631582
WRIGHT A C,2,2.671122975075981
YUKSEL S,4,3.3325198545758443
ZHANG G,1,3.4085106382978725
ZHANG J,1,3.058770399836801
ZHU D,1,2.447142857142857
