instructor,classes_taught,avg_gpa_historical
ABDO E,5,3.909053945249598
ACKERMANN R J,2,2.618089466089466
ADEBOYE I D,3,3.236250750093255
AFAGA M T,1,2.56
AGBOOLA A,17,3.3355320263175203
AKEMANN C A,17,3.0725024868575783
ALAR D L,1,3.197777777777778
ALBRECHT B D,2,2.20349051854338
ALONSO RODRIG,6,2.8276065762504685
ALTHAUSER S B,3,3.2305302185548617
ARREPU P V,1,3.848148148148148
ATZBERGER P J,23,3.592084391521197
AVETISYAN Z,9,2.6138537827391097
BAGHERI A R,2,2.752163461538461
BAKSHI R P,4,3.228721385103719
BALLAS S A,4,2.525236681486682
BAREI A,3,3.5937951449290924
BARTER D E,1,3.423744292237443
BARTLETT P J,6,3.308459895868374
BECKER M,7,2.9351826169168014
BIGELOW S J,20,3.343002179245631
BIRNIR B,17,3.691113549063258
BLACKER C A,4,3.254844416584473
BLOOMQUIST W,2,3.0175257731958762
BRIGHTBILL J,4,2.685921450427203
BRIGHTON K C,1,2.036666666666666
BUENO C,1,3.3260869565217384
BUENO CACHADI,15,2.9039594713832013
BUONI M J,1,2.892207792207792
CARLSON R J,2,3.0864864864864865
CASS J G,2,2.67904989747095
CASTEELS K L,23,3.227501539981623
CASTELLA-CABE,11,3.73267019541873
CATTAN D J,1,3.429411764705882
CENICEROS H,15,3.1606644234733547
CHAI L,9,2.7876499945252973
CHANDRASEKARA,1,3.9674825174825177
CHANG L,2,2.7801244343891405
CHAPMAN K L,5,2.665265286523746
CHEN E,3,3.2461272758381674
CHEN H,7,3.346195927254216
CHEN J,17,2.9766293750827795
CHEN TIANCONG,7,2.9609913728178223
CHEN Z E,1,2.4764705882352938
CHISHOLM E E,3,3.026897619301804
CHO G,7,3.3292536509880875
COOPER D,15,3.5623560127091483
COTE B N,2,3.6295045045045042
COTTON-CLAY A,5,3.074188332918172
CRAIG K C,8,3.0297695321075357
CROW E M,1,3.495887445887446
CURTIS A R,2,3.4315302001672072
DAI X Z,19,3.1406319046550664
DARE C E,1,3.776190476190476
DAVIE E K,3,2.6546444840562486
DELANEY C R,1,3.3818181818181814
DELGADILLO R,3,3.0248744061814636
DIEP-NGUYEN A,1,3.35
DOBSON S A,1,3.3303030303030305
DOUGHERTY M J,1,2.7777644037875144
EBRAHIM E,11,3.0896354252823692
EINARSSON B,5,2.8047561639630034
ENNISS H P,2,2.880129958960328
EPELBAUM D P,2,3.05975975975976
ERICKSON B A,1,2.791729323308271
FLORES C V,1,2.947368421052632
FONSECA G E,2,2.9739583333333335
FROST G A,4,3.5835712162196884
FRYER S,7,2.829978026400654
GALAZ-GARCIA,2,3.06875
GALSTAD J L,1,3.434848484848485
GAMBHEERA ARA,7,3.183518098703408
GARCIA-CERVER,24,2.956803238475358
GARFIELD P M,16,3.1875472852810414
GERSTEIN L J,7,2.6435523516835087
GONZALEZ N,1,2.627272727272727
GOODEARL K,19,3.1368171608105846
GRANO E A,6,2.7239841024353533
GRIGORYAN V,7,2.7387938272339234
GUANG Q,8,2.943424486903329
GUO H,8,2.834627857607862
HAJOUJI N,9,2.810444325525207
HAKE K S,2,3.1775757575757573
HALMRAST D M,4,3.348852049143492
HANSON N,1,2.411111111111111
HARUTYUNYAN D,16,3.4197281740529304
HATELEY J C,1,2.4871108968177436
HELMS J A,6,2.5208621677762477
HIGGINS V B,1,3.0580000000000003
HILLEN P K,2,3.2728307254623044
HONG C,1,3.4508333333333336
HOSSEINKHAN A,6,2.8594433048332064
HOWARD T T,4,2.8107726423902895
HU R,5,3.873522245762712
HUISGEN-ZIMME,14,3.1002596417765735
JACOB W B,21,3.3676280153808076
JACOBS M A,5,3.633303380402225
JARAMILLO A C,2,2.738461224513594
JARAMILLO M T,2,2.810997442455243
JIN Z,2,2.8669165085388992
JOHNSON G W,4,2.8476257559098404
JONOV B Y,1,2.570588235294118
JOO S,3,3.019817294973545
KABBABE T,2,2.385858585858586
KALAULI A K,1,3.1189346590909093
KAMINSKY J M,7,2.939733191961708
KARIMI S,5,2.721781717255696
KEITH M T,1,3.1208333333333336
KELZ J M,6,3.0701633941584565
KENNARD L T,6,3.016804416269468
KENNEDY K G,1,2.3102564102564105
KHOSHBIN M,2,2.9287647058823527
KIM HYUN-JUNG,3,3.3120693789704507
KIRBY G R,1,2.944688286273413
KLAR T S,1,2.24
KLING T P,2,2.9361493533583647
KOLT Q T,1,3.787096774193549
KORATTI CHENG,3,3.031591770528936
KRISHNA A,4,3.237905875800613
KUBLER J W,1,2.1483588542604934
KULICK C,1,3.335185185185185
KUMAR S L,7,3.4779318602464318
LABUTIN D A,30,3.434031466440846
LAINEZ REYES,1,2.478947368421052
LAM KELVIN,4,3.2138997013317665
LANDRY T B,9,3.5593992862223756
LEE J J B,2,3.4011363636363634
LEE R,1,3.5302469135802466
LEITNER A M,2,2.639338235294118
LEVAILLANT C,6,3.884855016019829
LEYTON E E,1,3.1541666666666663
LI Y,1,2.3628571428571425
LIM G,7,2.546710094746004
LIM T,1,3.301369863013698
LIN Q,4,3.064661156304189
LIU DEBIN,1,3.152941176470588
LIU L,1,2.8528269184795603
LIU Z,11,3.307702397975507
LO KIM LIN J,1,2.895855072463768
LONG D D,18,2.9827394651930534
LOPEZ C,5,3.114263654105301
LORIN DE LA G,1,2.9741379310344827
LU D,2,2.9984627092846274
MALMENDIER A,4,2.545990566037736
MANIN F,10,3.530715373509491
MARTIN C Z,2,2.6752803086880763
MARTINEZ ESPA,9,2.8043994072954264
MARTINS RODRI,1,3.0047028798624544
MATA M R,5,2.77147773369001
MAVRAKIS L J,2,3.14625
MCCAMMOND J P,22,3.637422470961526
MCGAHAGAN H C,2,2.675865418580007
MCGRATH G P,3,3.638268398268399
MERKL K E,1,3.8042824074074075
MERKX P R,1,2.9220779220779223
MIKAYELYAN H,1,3.1764705882352944
MILLETT K C,17,2.9168920617992056
MOLANDER M A,2,3.383099097381134
