instructor,classes_taught,avg_gpa_historical
ABUZAID A H,3,3.515676775487851
ADAMS A R,1,3.440909090909091
ANDREI M S,1,3.176190476190476
AUNG T,1,3.261111111111111
BANG S,1,2.983479020979021
BAPAT S R,7,3.5260862998249847
BARACALDO LAN,8,3.156250839463001
BENNETT N A,2,2.6349454027610175
BONNET G,2,2.878623188405797
BORSA C,1,2.98030303030303
BRUNICK G P,4,2.7672487924407143
CARTER A V,14,3.3471187372000983
CHAVEZ E A,3,2.7981861982193967
CHEN S,1,0.0
CHEN T,6,2.7912580854090687
CHI P,1,3.7569941956882253
CHIU C,1,3.0900000000000003
CHIU Y,1,3.2265460030165913
CHOE H,1,3.190909090909091
CHRONOPOULOU,4,3.1340593031907407
COBURN K M,10,3.656595865992229
DETERING N,6,3.3454438692567097
DUAN J,3,2.526561032767049
DUAN S,2,2.6612321620995605
DUNCAN I,7,2.997581672612567
DUNCAN J E,4,3.5183620373687945
EKSTROM M C,1,2.844871794871795
ELCHEIKHALI M,1,3.128571428571429
ELIE R,2,3.392142857142857
ESCOBAR PARRA,1,3.571428571428572
FELDMAN R,11,3.3888660485096858
FOUQUE J-P,7,3.884770904195011
FOUSKAKIS D,3,2.6695114275702942
FRANKS A,10,3.5644589917879856
FRITTELLI M,2,2.893775894538606
GALLOWAY M L,2,2.271942934782609
GARRIDO J,1,1.9319672131147545
GATTO R,1,2.8875
GHOFRANI H,1,3.040425531914894
GHOSAL A,3,3.272385022385023
GOFFARD P M,5,3.1458359808240175
GOPALAN G,6,3.5997718029735823
GRASSELLI M D,1,2.605882352941176
GRIGORIAN K,5,3.5301270192425833
GROSS T M,2,3.086434549693408
GU M,5,3.508934302530858
GUERRIER S,2,2.8193118375806066
GUO QIHENG,3,2.9493502591103833
HAN X,1,2.45
HARTMAN J L,1,1.5714285714285714
HAYNE R M,2,2.420352584341517
HE J,3,3.2087081926927326
HERNDON W W,3,2.897317606933136
HINKLEY D,9,3.029086869851148
HOHN M E,2,2.5471130076607253
HOLLADAY B A,2,2.8102875112309076
HOLMES D E,9,2.9959211723072676
HSU S J,7,3.4962221368292172
HU M,1,2.8392857142857144
HU R,5,3.721279974676438
ICHIBA T,18,3.532123808522728
INSTON J R,1,3.22068250377074
ISRAEL CANCAD,1,2.96317907444668
IYER S K,3,2.770477488390874
JAMMALAMADAKA,15,3.7385445481622708
JIN BOTAO,1,3.45
JIN Z,2,2.79654213036566
KATZ I T,1,3.245945945945946
KING B K,1,3.609090909090909
KLOKE J,5,3.1200441016290767
KONDA S R,6,3.2232911290908755
