instructor,rmp_rating,rmp_difficulty,rmp_num_ratings,rmp_take_again,rmp_url,rmp_dept,rmp_tags
"JOSEPH, CRISJOE",4.2,3.7,395,82%,https://www.ratemyprofessors.com/professor/1829388,Chemistry,"TEST HEAVY, CLEAR GRADING CRITERIA, AMAZING LECTURES, LOTS OF HOMEWORK, RESPECTED, TOUGH GRADER, ACCESSIBLE OUTSIDE CLASS, GRADED BY FEW THINGS, CARING"
"DAI, XIANZHE",2.6,3.5,176,23%,https://www.ratemyprofessors.com/professor/346088,Mathematics,"TEST HEAVY, GRADED BY FEW THINGS, TOUGH GRADER, LOTS OF HOMEWORK, HILARIOUS, LECTURE HEAVY"
"MAJEDI, MARYAM",2.6,3.9,114,44%,https://www.ratemyprofessors.com/professor/2938378,Computer Science,"TOUGH GRADER, PARTICIPATION MATTERS, TEST HEAVY, ACCESSIBLE OUTSIDE CLASS, CARING, EXTRA CREDIT, INSPIRATIONAL"
"BERNT, CHRISTOPHER",2.8,3.7,90,50%,https://www.ratemyprofessors.com/professor/2184986,Chemistry,"TEST HEAVY, LOTS OF HOMEWORK, TOUGH GRADER, PARTICIPATION MATTERS, GRADED BY FEW THINGS, LECTURE HEAVY"
"MIRZA, DIBA",4.7,2.9,78,91%,https://www.ratemyprofessors.com/professor/2258262,Computer Science,"AMAZING LECTURES, RESPECTED, LOTS OF HOMEWORK, GIVES GOOD FEEDBACK, CARING, GROUP PROJECTS, TOUGH GRADER"
"KRUT, ROBERT",4.8,2.1,78,90%,https://www.ratemyprofessors.com/professor/284304,Writing,"GIVES GOOD FEEDBACK, CARING, CLEAR GRADING CRITERIA, PARTICIPATION MATTERS, GROUP PROJECTS, GET READY TO READ, ACCESSIBLE OUTSIDE CLASS, HILARIOUS, AMAZING LECTURES"
"KOUTROULAKIS, GEORGIOS",4.3,3.4,67,83%,https://www.ratemyprofessors.com/professor/2241089,Physics,"AMAZING LECTURES, PARTICIPATION MATTERS, CLEAR GRADING CRITERIA, LOTS OF HOMEWORK, LECTURE HEAVY, RESPECTED, HILARIOUS"
"ZHENG, XIAOWEI",4.5,3.3,49,90%,https://www.ratemyprofessors.com/professor/1453954,History,"GET READY TO READ, INSPIRATIONAL, RESPECTED, AMAZING LECTURES, GIVES GOOD FEEDBACK, PARTICIPATION MATTERS, ACCESSIBLE OUTSIDE CLASS, TOUGH GRADER, CARING"
"HUK, PETER",4.4,1.7,48,92%,https://www.ratemyprofessors.com/professor/895021,Writing,"GIVES GOOD FEEDBACK, GROUP PROJECTS, CARING, ACCESSIBLE OUTSIDE CLASS, CLEAR GRADING CRITERIA, GRADED BY FEW THINGS"
"YU, HONGBO",4.0,2.6,37,72%,https://www.ratemyprofessors.com/professor/2668256,Psychology,"CARING, GET READY TO READ, LECTURE HEAVY, CLEAR GRADING CRITERIA, GRADED BY FEW THINGS, RESPECTED, EXTRA CREDIT, TEST HEAVY, INSPIRATIONAL"
"YAN, ZETIAN",3.0,2.3,34,52%,https://www.ratemyprofessors.com/professor/2934628,Mathematics,"CLEAR GRADING CRITERIA, CARING, HILARIOUS, ACCESSIBLE OUTSIDE CLASS, EXTRA CREDIT, AMAZING LECTURES, RESPECTED, LOTS OF HOMEWORK"
"YANG, FENGRUI",1.3,4.3,30,6%,https://www.ratemyprofessors.com/professor/3042220,Mathematics,"GRADED BY FEW THINGS, TOUGH GRADER, TEST HEAVY, LECTURE HEAVY, GET READY TO READ"
"ZHANG, ZHENG",3.5,3.6,15,53%,https://www.ratemyprofessors.com/professor/2342504,Electrical & Comp. Engineering,"TOUGH GRADER, LOTS OF HOMEWORK, CLEAR GRADING CRITERIA, RESPECTED, GET READY TO READ, TEST HEAVY, GRADED BY FEW THINGS, LECTURE HEAVY"
"SHAY, JACKIE",5.0,1.9,14,100%,https://www.ratemyprofessors.com/professor/3021688,Biology,"CARING, AMAZING LECTURES, INSPIRATIONAL, CLEAR GRADING CRITERIA, ACCESSIBLE OUTSIDE CLASS"
"BREWER, FORREST",3.8,3.3,9,66%,https://www.ratemyprofessors.com/professor/2303802,Electrical & Comp. Engineering,"GIVES GOOD FEEDBACK, PARTICIPATION MATTERS, GROUP PROJECTS, AMAZING LECTURES, LOTS OF HOMEWORK, RESPECTED, CARING"
"BAYLIS, KATHY",4.0,3.0,1,100%,https://www.ratemyprofessors.com/professor/2779684,Geography,"PARTICIPATION MATTERS, CARING, LECTURE HEAVY"
